MASS (IN MSUN)=  1.000
 X=  .740 Y=  .240
 L=  1000.
 GUESSED PERIOD=  1.000000E+02 SEC
 NTRY=  1 EIG=  3.9478418E-03 DEIG=  3.05150E-06
 NTRY=  2 EIG=  3.9508933E-03 DEIG= -2.16696E-08
 FINAL VALUES: PERIOD=   9.996165E+01 EIG=  3.950871589E-03
  9 NODES IN Y1     8 NODES IN Y2 
     PHASE DIAGRAM MODE  -7
                   2(N, R/R* ,  Y1  ,  Y2)
 122   .485044 -2.4345E+14 -3.0956E+14 123   .494872 -2.4107E+14 -3.2260E+14
 124   .504949 -2.3806E+14 -3.3555E+14 125   .515279 -2.3437E+14 -3.4822E+14
 126   .525866 -2.2995E+14 -3.6040E+14 127   .536711 -2.2474E+14 -3.7184E+14
 128   .547817 -2.1869E+14 -3.8224E+14 129   .559184 -2.1178E+14 -3.9128E+14
 130   .570812 -2.0398E+14 -3.9861E+14 131   .582701 -1.9530E+14 -4.0388E+14
 132   .594850 -1.8574E+14 -4.0670E+14 133   .607254 -1.7536E+14 -4.0672E+14
 134   .619910 -1.6421E+14 -4.0360E+14 135   .632811 -1.5240E+14 -3.9706E+14
 136   .645951 -1.4005E+14 -3.8690E+14 137   .659320 -1.2733E+14 -3.7302E+14
 138   .672906 -1.1440E+14 -3.5545E+14 139   .686695 -1.0147E+14 -3.3439E+14
 140   .700671 -8.8743E+13 -3.1018E+14 141   .714814 -7.6442E+13 -2.8333E+14
 142   .729098 -6.4769E+13 -2.5451E+14 143   .743495 -5.3910E+13 -2.2450E+14
 144   .757968 -4.4018E+13 -1.9416E+14 145   .772470 -3.5204E+13 -1.6437E+14
 146   .786943 -2.7532E+13 -1.3596E+14 147   .801303 -2.1015E+13 -1.0963E+14
 148   .815427 -1.5609E+13 -8.5902E+13 149   .829108 -1.1236E+13 -6.5105E+13
 150   .842154 -7.8526E+12 -4.7806E+13 151   .854548 -5.3427E+12 -3.4092E+13
 152   .866295 -3.5332E+12 -2.3577E+13 153   .877399 -2.2688E+12 -1.5801E+13
 154   .887867 -1.4128E+12 -1.0251E+13 155   .897706 -8.5213E+11 -6.4307E+12
 156   .906926 -4.9709E+11 -3.8969E+12 157   .915541 -2.8002E+11 -2.2781E+12
 158   .923563 -1.5205E+11 -1.2831E+12 159   .931009 -7.9431E+10 -6.9509E+11
 160   .937896 -3.9820E+10 -3.6153E+11 161   .944243 -1.9100E+10 -1.8012E+11
 162   .950072 -8.7330E+09 -8.5725E+10 163   .955404 -3.7867E+09 -3.8827E+10
 164   .960265 -1.5461E+09 -1.6650E+10 165   .964680 -5.8821E+08 -6.7096E+09
 166   .968680 -2.0518E+08 -2.5125E+09 167   .972294 -6.4045E+07 -8.6007E+08
 168   .975556 -1.7268E+07 -2.6330E+08 169   .978497 -3.8180E+06 -7.0191E+07
 170   .981141 -6.2576E+05 -1.5764E+07 171   .983505 -4.9603E+04 -2.8092E+06
 172   .985603  1.0364E+04 -3.2217E+05 173   .987450  4.3613E+03  7.4432E+03
 174   .989075  7.3870E+01  1.1107E+04 175   .990506 -3.3212E+02  2.3445E+02
 176   .991776 -1.4446E+01 -8.5372E+02 177   .992907  4.8517E+01  2.9561E+00
