 MASS (IN MSUN)= 15.000
 X=  .740 Y=  .240
 L=   100.
 GUESSED PERIOD=  2.000000E+03 SEC
 NTRY=  1 EIG=  9.8696044E-06 DEIG=  3.34495E-07
 NTRY=  2 EIG=  1.0204099E-05 DEIG=  6.08876E-08
 NTRY=  3 EIG=  1.0264987E-05 DEIG=  1.73188E-09
 NTRY=  4 EIG=  1.0266719E-05 DEIG= -8.18748E-12
 FINAL VALUES: PERIOD=   1.960940E+03 EIG=  1.026671071E-05
  1 NODES IN Y1     1 NODES IN Y2 
     PHASE DIAGRAM MODE  -1
                   2(N, R/R* ,  Y1  ,  Y2)
 118   .483425 -1.4571E+00 -3.4250E-01 119   .490568 -1.4644E+00 -3.5561E-01
 120   .497836 -1.4725E+00 -3.6966E-01 121   .505232 -1.4814E+00 -3.8473E-01
 122   .512756 -1.4913E+00 -4.0090E-01 123   .520408 -1.5021E+00 -4.1826E-01
 124   .528190 -1.5139E+00 -4.3691E-01 125   .536103 -1.5268E+00 -4.5695E-01
 126   .544145 -1.5407E+00 -4.7848E-01 127   .552317 -1.5558E+00 -5.0163E-01
 128   .560618 -1.5721E+00 -5.2652E-01 129   .569046 -1.5895E+00 -5.5327E-01
 130   .577601 -1.6081E+00 -5.8201E-01 131   .586280 -1.6279E+00 -6.1288E-01
 132   .595080 -1.6489E+00 -6.4603E-01 133   .603999 -1.6711E+00 -6.8159E-01
 134   .613032 -1.6945E+00 -7.1971E-01 135   .622176 -1.7189E+00 -7.6053E-01
 136   .631424 -1.7445E+00 -8.0418E-01 137   .640773 -1.7710E+00 -8.5081E-01
 138   .650215 -1.7984E+00 -9.0052E-01 139   .659744 -1.8265E+00 -9.5342E-01
 140   .669351 -1.8553E+00 -1.0096E+00 141   .679029 -1.8845E+00 -1.0691E+00
 142   .688767 -1.9141E+00 -1.1320E+00 143   .698557 -1.9436E+00 -1.1982E+00
 144   .708387 -1.9729E+00 -1.2677E+00 145   .718247 -2.0017E+00 -1.3403E+00
 146   .728123 -2.0296E+00 -1.4159E+00 147   .738005 -2.0564E+00 -1.4943E+00
 148   .747877 -2.0815E+00 -1.5750E+00 149   .757728 -2.1045E+00 -1.6577E+00
 150   .767541 -2.1251E+00 -1.7418E+00 151   .777304 -2.1427E+00 -1.8267E+00
 152   .786999 -2.1567E+00 -1.9117E+00 153   .796613 -2.1667E+00 -1.9960E+00
 154   .806130 -2.1720E+00 -2.0786E+00 155   .815533 -2.1722E+00 -2.1584E+00
 156   .824808 -2.1666E+00 -2.2344E+00 157   .833938 -2.1547E+00 -2.3052E+00
 158   .842909 -2.1359E+00 -2.3697E+00 159   .851706 -2.1099E+00 -2.4265E+00
 160   .860313 -2.0761E+00 -2.4743E+00 161   .868716 -2.0341E+00 -2.5117E+00
 162   .876903 -1.9838E+00 -2.5376E+00 163   .884861 -1.9248E+00 -2.5506E+00
 164   .892577 -1.8570E+00 -2.5498E+00 165   .900041 -1.7805E+00 -2.5343E+00
 166   .907243 -1.6954E+00 -2.5033E+00 167   .914175 -1.6020E+00 -2.4565E+00
 168   .920829 -1.5005E+00 -2.3935E+00 169   .927199 -1.3915E+00 -2.3145E+00
 170   .933280 -1.2757E+00 -2.2198E+00 171   .939069 -1.1537E+00 -2.1101E+00
 172   .944566 -1.0265E+00 -1.9862E+00 173   .949769 -8.9494E-01 -1.8495E+00
 174   .954683 -7.6004E-01 -1.7014E+00 175   .959310 -6.2290E-01 -1.5435E+00
 176   .963660 -4.8467E-01 -1.3779E+00 177   .967741 -3.4652E-01 -1.2064E+00
 178   .971569 -2.0970E-01 -1.0308E+00 179   .975157 -7.5522E-02 -8.5256E-01
 180   .978519  5.4573E-02 -6.7231E-01 181   .981658  1.7900E-01 -4.8975E-01
 182   .984561  2.9602E-01 -3.0446E-01 183   .987191  4.0404E-01 -1.1979E-01
 184   .989519  5.0220E-01  5.3414E-02 185   .991563  5.9125E-01  2.0527E-01
 186   .993077  6.5936E-01  3.1416E-01 187   .994249  7.1344E-01  3.9626E-01
 188   .995191  7.5762E-01  4.6162E-01 189   .995967  7.9446E-01  5.1623E-01
 190   .996621  8.2565E-01  5.6388E-01 191   .997180  8.5239E-01  6.0702E-01
 192   .997662  8.7559E-01  6.4725E-01 193   .998079  8.9608E-01  6.8550E-01
 194   .998443  9.1485E-01  7.2218E-01 195   .998761  9.3275E-01  7.5714E-01
 196   .999044  9.4966E-01  7.8892E-01 197   .999299  9.6478E-01  8.1563E-01
 198   .999538  9.7784E-01  8.3691E-01 199   .999769  9.8936E-01  8.5360E-01
 200  1.000000  1.0000E+00  8.6654E-01
